X,Y,group,Species 1,Species 2,Author
0.464193825,771.142222,3,BaF2,UF4,MSTDB-TC V3.1
0.466426392,736.282069,3,BaF2,UF4,MSTDB-TC V3.1
0.468716912,701.429286,3,BaF2,UF4,MSTDB-TC V3.1
0.471062624,666.583699,3,BaF2,UF4,MSTDB-TC V3.1
0.473459319,631.744913,3,BaF2,UF4,MSTDB-TC V3.1
0.475682828,600,3,BaF2,UF4,MSTDB-TC V3.1
0.99999,964.354313,4,BaF2,UF4,MSTDB-TC V3.1
0.9749905,964.354313,4,BaF2,UF4,MSTDB-TC V3.1
0.949991,964.354313,4,BaF2,UF4,MSTDB-TC V3.1
0.9249915,964.354313,4,BaF2,UF4,MSTDB-TC V3.1
0.899992,964.354313,4,BaF2,UF4,MSTDB-TC V3.1
0.8749925,964.354313,4,BaF2,UF4,MSTDB-TC V3.1
0.849993,964.354313,4,BaF2,UF4,MSTDB-TC V3.1
